Scenario,Controller,IAE,ISE,SSE,ControlEnergy,RiseTime,SettlingTime,Overshoot
ramp,LQR,0.123163704688783,0.0303712746014547,0.246848114547987,69.0241586259862,NaN,NaN,NaN
ramp,PP,1.28415456922848,3.33908432070011,2.63355074602846,66.3617592750185,NaN,NaN,NaN
ramp,RL,0.429455579300133,0.534286087304803,0.876811683469356,105.884099215028,NaN,NaN,NaN
sine,LQR,14.412772010008,1071.94529299036,0.310145211509777,159.647699978788,NaN,NaN,NaN
sine,PP,14.876298063844,1073.18744447211,3.23141069762035,153.099031607311,NaN,NaN,NaN
sine,RL,15.0584170415294,1074.19143708758,1.40565191654809,159.708366474597,NaN,NaN,NaN
step_load_disturbance,LQR,11.2391518189535,740.420468025743,0.0433820197289805,138.838427630495,0.183242905583532,0.226209923978041,0
step_load_disturbance,PP,11.3806340471433,740.549294825857,0.462799720095262,136.038912820929,0.183242905583532,0.23163421957452,0
step_load_disturbance,RL,11.7457181901677,741.428356626223,1.95863175359551,141.529305674776,0.183242905583532,0.226209923978041,1.95932827380576
step_nominal,LQR,11.2116173248389,740.293814941261,8.5265128291212e-14,133.671865384492,0.182815251325106,0.223984380988532,0
step_nominal,PP,11.2428777139759,740.34759087332,5.33731281393557e-10,131.108180404594,0.182815251325106,0.228036780687073,0
step_nominal,RL,11.7754890354124,741.476191293404,2.11346134892216,136.111479727552,0.182815251325106,NaN,2.1143593652992
